ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
9,2,10,80,100,1000,3,TIME_LIMIT,300.04965901374817,253.9907500743866,554.0404090881348,5.394470543721196,187720.7275195401,423.0,149035.0,300,300
10,0,20,10,10,1000,3,OPTIMAL,0.9444758892059326,0.0,0.9444758892059326,0.0,19281.6207157108,3.0,796.0,300,300
10,1,20,10,10,1000,3,OPTIMAL,1.1243419647216797,104.523371219635,105.64771318435668,0.0,19281.6207157108,3.0,786.0,300,300
10,2,20,10,10,1000,3,OPTIMAL,1.053189992904663,104.523371219635,105.57656121253969,0.0,19281.6207157108,3.0,786.0,300,300
11,0,20,10,50,1000,3,OPTIMAL,8.350334882736206,0.0,8.350334882736206,0.0,23622.707841539755,3.0,4342.0,300,300
11,1,20,10,50,1000,3,OPTIMAL,9.717689037322998,300.18507146835327,309.90276050567627,0.0,23622.707841539755,3.0,4386.0,300,300
11,2,20,10,50,1000,3,OPTIMAL,8.375288009643555,300.18507146835327,308.5603594779968,0.0,23622.707841539755,3.0,4386.0,300,300
12,0,20,10,100,1000,3,OPTIMAL,27.66815996170044,0.0,27.66815996170044,0.0,37542.09685807675,3.0,8087.0,300,300
12,1,20,10,100,1000,3,OPTIMAL,30.41191411018372,300.76969289779663,331.18160700798035,0.0,37542.09685808048,3.0,8083.0,300,300
12,2,20,10,100,1000,3,OPTIMAL,28.019119024276733,300.76969289779663,328.78881192207336,0.0,37542.09685808048,3.0,8083.0,300,300
13,0,20,40,10,1000,3,TIME_LIMIT,300.0096049308777,0.0,300.0096049308777,0.2336909182052741,31624.75689952355,30462.0,632842.0,300,300
13,1,20,40,10,1000,3,TIME_LIMIT,300.0089681148529,113.68403577804564,413.69300389289856,0.324426276020146,31213.09505853616,27769.0,468593.0,300,300
13,2,20,40,10,1000,3,TIME_LIMIT,300.0097439289093,113.68403577804564,413.69377970695496,0.3575185073360662,32387.37348322384,27494.0,482841.0,300,300
14,0,20,40,50,1000,3,TIME_LIMIT,300.0065770149231,0.0,300.0065770149231,inf,inf,3358.0,147717.0,300,300
14,1,20,40,50,1000,3,TIME_LIMIT,300.0711441040039,300.1006393432617,600.1717834472656,0.9370978077934656,101230.48108887672,2215.0,103523.0,300,300
14,2,20,40,50,1000,3,TIME_LIMIT,300.03001594543457,300.1006393432617,600.1306552886963,0.9361509331597608,84845.67653659731,2154.0,100385.0,300,300
15,0,20,40,100,1000,3,TIME_LIMIT,300.19827485084534,0.0,300.19827485084534,inf,inf,365.0,55977.0,300,300
15,1,20,40,100,1000,3,TIME_LIMIT,300.11974906921387,300.5509202480316,600.6706693172455,1.847957229469445,260582.82431056723,286.0,51204.0,300,300
15,2,20,40,100,1000,3,TIME_LIMIT,300.1170780658722,300.5509202480316,600.6679983139038,1.853271579999994,260582.82431056723,374.0,50013.0,300,300
16,0,20,80,10,1000,3,TIME_LIMIT,300.0279359817505,0.0,300.0279359817505,0.3888457350210447,69016.43056813348,24697.0,557799.0,300,300
16,1,20,80,10,1000,3,TIME_LIMIT,300.00870394706726,125.15751123428343,425.1662151813507,0.3777248117808814,73222.4661715012,23143.0,472549.0,300,300
16,2,20,80,10,1000,3,TIME_LIMIT,300.00852513313293,125.15751123428343,425.1660363674164,0.345051550002196,72120.43902052892,21153.0,465730.0,300,300
17,0,20,80,50,1000,3,TIME_LIMIT,300.0083930492401,0.0,300.0083930492401,inf,inf,1069.0,141957.0,300,300
17,1,20,80,50,1000,3,TIME_LIMIT,300.0417649745941,300.53360319137573,600.5753681659698,0.531670892683243,292312.1172853932,723.0,102865.0,300,300
17,2,20,80,50,1000,3,TIME_LIMIT,300.037565946579,300.53360319137573,600.5711691379547,0.9384950204697888,292312.1172853932,1098.0,74175.0,300,300
18,0,20,80,100,1000,3,TIME_LIMIT,300.1155300140381,0.0,300.1155300140381,inf,inf,102.0,113767.0,300,300
18,1,20,80,100,1000,3,TIME_LIMIT,300.2067539691925,300.66672825813293,600.8734822273254,1.5332494586680856,542539.5077525973,47.0,113804.0,300,300
18,2,20,80,100,1000,3,TIME_LIMIT,300.0935609340668,300.66672825813293,600.7602891921997,1.595504225718125,542539.5077525973,17.0,101864.0,300,300
19,0,40,10,10,1000,3,OPTIMAL,3.2685110569000244,0.0,3.2685110569000244,0.0,10427.904010912403,3.0,845.0,300,300
19,1,40,10,10,1000,3,OPTIMAL,3.779712915420532,300.1964964866638,303.97620940208435,0.0,10427.904010912403,3.0,845.0,300,300
19,2,40,10,10,1000,3,OPTIMAL,3.3643181324005127,300.1964964866638,303.5608146190644,0.0,10427.904010912403,3.0,845.0,300,300
20,0,40,10,50,1000,3,OPTIMAL,50.13910102844238,0.0,50.13910102844238,0.0,53410.68331810832,3.0,4510.0,300,300
20,1,40,10,50,1000,3,OPTIMAL,53.88956308364868,300.19804215431213,354.0876052379608,0.0,53410.68331810832,3.0,4533.0,300,300
20,2,40,10,50,1000,3,OPTIMAL,45.55492782592773,300.19804215431213,345.75296998023987,0.0,53410.68331810832,3.0,4533.0,300,300
21,0,40,10,100,1000,3,OPTIMAL,152.5019190311432,0.0,152.5019190311432,0.0,57643.53946976364,3.0,12289.0,300,300
21,1,40,10,100,1000,3,OPTIMAL,187.7583990097046,301.73389291763306,489.4922919273377,0.0,57643.53946976364,3.0,12329.0,300,300
